product_id,product_name,category,price
P00281,Realme V2,Electronics,195000
P00282,Tecno 1kg,Electronics,380000
P00283,Phone 500ml,Electronics,920000
P00284,Tecno Digital,Electronics,380000
P00285,iPhone 4K 500g,Electronics,125000
P00286,Nokia 2025 12-pack,Electronics,85000
P00287,Nokia Premium 250ml,Electronics,165000
P00288,Tecno,Electronics,380000
P00289,Samsung V2 500g,Electronics,195000
P00290,Xiaomi V3,Electronics,780000
P00291,Phone Plus,Electronics,85000
P00292,Tecno Digital,Electronics,225000
P00293,Xiaomi Ultra 12-pack,Electronics,165000
P00294,Tecno,Electronics,480000
P00295,Xiaomi Ultra,Electronics,165000
P00296,iPhone Pro 250ml,Electronics,320000
P00297,Tecno Elite 100-pack,Electronics,320000
P00298,Itel Basic,Electronics,920000
P00299,Xiaomi Gen 3 A5,Electronics,85000
P00300,Infinix Smart 10kg,Electronics,125000
P00301,iPhone Premium 10kg,Electronics,480000
P00302,Phone 2kg,Electronics,380000
P00303,Tecno Plus,Electronics,480000
P00304,Phone 500ml,Electronics,225000
P00305,Itel Lite 1L,Electronics,285000
P00306,Samsung Plus,Electronics,125000
P00307,Xiaomi 2024,Electronics,780000
P00308,Realme Lite,Electronics,165000
P00309,Nokia Gen 2,Electronics,1200000
P00310,Samsung,Electronics,920000
P00311,iPhone,Electronics,380000
P00312,Nokia Wireless 12-pack,Electronics,320000
P00313,Phone 2024 2kg,Electronics,480000
P00314,Itel Gen 2 2L,Electronics,285000
P00315,Nokia 2025 250ml,Electronics,225000
P00316,Infinix Ultra 5kg,Electronics,320000
P00317,iPhone 500ml,Electronics,320000
P00318,Xiaomi Basic,Electronics,920000
P00319,Motorola Gen 3,Electronics,125000
P00320,Nokia 2024,Electronics,225000
P00321,Tecno 100-pack,Electronics,165000
P00322,Nokia 50-pack,Electronics,125000
P00323,Tecno Standard Set of 4,Electronics,480000
P00324,Tecno Gen 2 500ml,Electronics,285000
P00325,Motorola Pro 1L,Electronics,680000
P00326,Nokia Digital,Electronics,285000
P00327,Itel V3 500ml,Electronics,480000
P00328,Infinix Gen 2 50-pack,Electronics,920000
P00329,Motorola Gen 2,Electronics,285000
P00330,Phone Basic 2kg,Electronics,920000
P00331,iPhone Plus,Electronics,225000
P00332,iPhone 2L,Electronics,680000
P00333,iPhone 2L,Electronics,920000
P00334,Realme V3,Electronics,780000
P00335,Phone 360 Set of 4,Electronics,85000
P00336,Itel Lite 1L,Electronics,285000
P00337,Tecno Premium 24-pack,Electronics,780000
P00338,Motorola Digital 12-pack,Electronics,1200000
P00339,Infinix Gen 3 100-pack,Electronics,225000
P00340,Xiaomi V2 500ml,Electronics,225000
P00341,Infinix Basic 1L,Electronics,320000
P00342,Xiaomi Digital 100-pack,Electronics,125000
P00343,iPhone Mini,Electronics,85000
P00344,Nokia Gen 2,Electronics,480000
P00345,Tecno V2,Electronics,85000
P00346,Phone Gen 3 Set of 4,Electronics,125000
P00347,iPhone Premium 12-pack,Electronics,285000
P00348,Xiaomi V3 2L,Electronics,780000
P00349,Samsung Wireless,Electronics,780000
P00350,Nokia Gen 2 12-pack,Electronics,920000
P00351,Tecno Digital 500ml,Electronics,285000
P00352,iPhone Max,Electronics,380000
P00353,Tecno 2024 500ml,Electronics,85000
P00354,Nokia Gen 3 250ml,Electronics,125000
P00355,Nokia 2025,Electronics,125000
P00356,Motorola Pro 250ml,Electronics,380000
P00357,Nokia HD 2kg,Electronics,165000
P00358,Motorola Standard A4,Electronics,285000
P00359,Nokia Gen 3 1.5L,Electronics,480000
P00360,Realme V3 50-pack,Electronics,1200000
P00361,Phone Gen 3 12-pack,Electronics,380000
P00362,Infinix 1L,Electronics,680000
P00363,Infinix,Electronics,165000
P00364,Motorola 1kg,Electronics,225000
P00365,Xiaomi Max 2kg,Electronics,195000
P00366,Phone Smart Set of 6,Electronics,1200000
P00367,Infinix Max A4,Electronics,165000
P00368,Nokia Ultra,Electronics,285000
P00369,Xiaomi V3 Set of 4,Electronics,195000
P00370,Samsung Gen 3,Electronics,380000
P00371,iPhone,Electronics,85000
P00372,Motorola Digital Set of 6,Electronics,125000
P00373,Infinix Digital,Electronics,85000
P00374,Itel 4K Set of 6,Electronics,1200000
P00375,iPhone 5kg,Electronics,920000
P00376,Nokia Smart,Electronics,1200000
P00377,Realme 4K,Electronics,480000
P00378,Motorola Pro 1L,Electronics,165000
P00379,Infinix 2024,Electronics,320000
P00380,Infinix Lite Set of 4,Electronics,195000
P00381,Realme Max,Electronics,85000
P00382,Motorola HD 500ml,Electronics,165000
P00383,Itel V3,Electronics,780000
P00384,Phone 1L,Electronics,320000
P00385,Infinix 500ml,Electronics,920000
P00386,Realme 1kg,Electronics,380000
P00387,Phone Premium,Electronics,285000
P00388,Itel Wireless A4,Electronics,680000
P00389,Tecno 2024 1.5L,Electronics,320000
P00390,Nokia Gen 2,Electronics,125000
P00391,Realme 12-pack,Electronics,165000
P00392,Xiaomi Gen 2,Electronics,1200000
P00393,Itel HD,Electronics,320000
P00394,Samsung Gen 2,Electronics,85000
P00395,Infinix A4,Electronics,195000
P00396,Realme 360 50-pack,Electronics,195000
P00397,Infinix 500ml,Electronics,680000
P00398,Infinix Ultra 10kg,Electronics,225000
P00399,Itel Lite,Electronics,480000
P00400,Phone Gen 2,Electronics,225000
P00401,Phone Wireless 24-pack,Electronics,480000
P00402,Nokia 500g,Electronics,780000
P00403,Motorola V3 1.5L,Electronics,480000
P00404,Samsung Smart,Electronics,225000
P00405,Tecno 500ml,Electronics,85000
P00406,Phone Gen 3 A5,Electronics,285000
P00407,Motorola Standard 100-pack,Electronics,225000
P00408,Samsung,Electronics,1200000
P00409,Xiaomi Premium 250ml,Electronics,1200000
P00410,Phone Basic 12-pack,Electronics,85000
P00411,Samsung,Electronics,285000
P00412,Realme Pro,Electronics,480000
P00413,Xiaomi,Electronics,780000
P00414,Nokia Lite A5,Electronics,225000
P00415,Xiaomi Digital 1kg,Electronics,380000
P00416,Itel Wireless,Electronics,85000
P00417,iPhone Standard 24-pack,Electronics,680000
P00418,Phone Smart,Electronics,285000
P00419,Motorola 1kg,Electronics,85000
P00420,iPhone V3 250ml,Electronics,165000
P00421,Nokia Smart 100-pack,Electronics,680000
P00422,Phone Ultra,Electronics,380000
P00423,Realme Basic A4,Electronics,125000
P00424,Samsung Pro,Electronics,1200000
P00425,Phone 2024,Electronics,1200000
P00426,Phone Max,Electronics,680000
P00427,Motorola 2024 50-pack,Electronics,285000
P00428,iPhone V3 500g,Electronics,480000
P00429,Motorola 250ml,Electronics,480000
P00430,iPhone Ultra 50-pack,Electronics,225000
P00431,Phone Gen 2 250g,Electronics,480000
P00432,Infinix 360 10kg,Electronics,1200000
P00433,Phone V2 250g,Electronics,285000
P00434,Itel Premium 250g,Electronics,85000
P00435,Itel 2L,Electronics,480000
P00436,Itel Plus 10kg,Electronics,285000
P00437,Phone Max 500g,Electronics,285000
P00438,Infinix Basic 24-pack,Electronics,125000
P00439,Tecno 24-pack,Electronics,480000
P00440,Motorola V3,Electronics,1200000
P00441,Itel Pro,Electronics,285000
P00442,Tecno Elite,Electronics,680000
P00443,Tecno 360,Electronics,225000
P00444,Tecno 360 250ml,Electronics,285000
P00445,Tecno 5kg,Electronics,125000
P00446,Infinix Pro,Electronics,85000
P00447,Nokia Basic,Electronics,85000
P00448,iPhone A4,Electronics,125000
P00449,Itel Gen 3 Set of 6,Electronics,680000
P00450,Samsung Elite,Electronics,1200000
P00451,Infinix V3 12-pack,Electronics,920000
P00452,Xiaomi Mini,Electronics,1200000
P00453,Realme HD Set of 6,Electronics,680000
P00454,iPhone V2 1kg,Electronics,480000
P00455,Nokia,Electronics,195000
P00456,Phone 4K 2L,Electronics,780000
P00457,Itel Ultra,Electronics,195000
P00458,Xiaomi Lite A5,Electronics,85000
P00459,Itel Gen 3 500g,Electronics,320000
P00460,Phone V2 1L,Electronics,165000
P00461,iPhone,Electronics,125000
P00462,Samsung V3 500g,Electronics,680000
P00463,iPhone Wireless 1L,Electronics,165000
P00464,Itel HD,Electronics,125000
P00465,Xiaomi Premium,Electronics,320000
P00466,Realme 4K 5kg,Electronics,195000
P00467,Realme Standard 500g,Electronics,320000
P00468,Itel Digital,Electronics,195000
P00469,Tecno Digital 5kg,Electronics,920000
P00470,Itel,Electronics,1200000
P00471,iPhone 2025 12-pack,Electronics,480000
P00472,Tecno 2025 500ml,Electronics,1200000
P00473,Motorola 4K 10kg,Electronics,125000
P00474,iPhone Gen 2,Electronics,195000
P00475,Tecno HD 24-pack,Electronics,680000
P00476,Motorola 4K 50-pack,Electronics,320000
P00477,Samsung Premium,Electronics,1200000
P00478,Phone Mini 500g,Electronics,85000
P00479,iPhone Mini,Electronics,195000
P00480,Samsung 1kg,Electronics,920000
P00481,Motorola 360,Electronics,1200000
P00482,Samsung Max,Electronics,680000
P00483,Realme Pro,Electronics,165000
P00484,Itel Pro,Electronics,920000
P00485,Infinix V3 250ml,Electronics,225000
P00486,Phone Pro,Electronics,225000
P00487,Samsung,Electronics,480000
P00488,Realme Gen 2 12-pack,Electronics,480000
P00489,iPhone V2 500ml,Electronics,1200000
P00490,Nokia Smart 2L,Electronics,320000
P00491,Phone 250g,Electronics,380000
P00492,Itel V3,Electronics,480000
P00493,Xiaomi Gen 3 12-pack,Electronics,195000
P00494,Realme 360 250ml,Electronics,285000
P00495,Samsung V3 500g,Electronics,480000
P00496,Phone Set of 4,Electronics,1200000
P00497,Motorola Mini 500g,Electronics,195000
P00498,Phone 4K 24-pack,Electronics,85000
P00499,Tecno Wireless,Electronics,680000
P00500,Motorola Ultra 5kg,Electronics,380000
P00501,Nokia Lite,Electronics,780000
P00502,Nokia 2025 1.5L,Electronics,480000
P00503,Realme Mini 1.5L,Electronics,85000
P00504,Xiaomi 360,Electronics,780000
P00505,Realme 500g,Electronics,320000
P00506,Nokia 360,Electronics,165000
P00507,Motorola Smart,Electronics,125000
P00508,Realme HD Set of 6,Electronics,320000
P00509,Phone Pro A5,Electronics,1200000
P00510,Realme 100-pack,Electronics,780000
P00511,Motorola Plus,Electronics,165000
P00512,Nokia 4K 500ml,Electronics,225000
P00513,Infinix 2025 250g,Electronics,480000
P00514,iPhone Gen 2 10kg,Electronics,480000
P00515,Phone Gen 3 Set of 4,Electronics,1200000
P00516,Tecno Digital 24-pack,Electronics,680000
P00517,Infinix Ultra,Electronics,225000
P00518,Tecno Digital,Electronics,680000
P00519,Nokia Wireless 24-pack,Electronics,85000
P00520,Samsung Max 500ml,Electronics,480000
P00521,Phone 360 500g,Electronics,225000
P00522,Motorola 250ml,Electronics,680000
P00523,Motorola 2025,Electronics,920000
P00524,iPhone Basic 100-pack,Electronics,380000
P00525,Motorola 4K 500ml,Electronics,1200000
P00526,iPhone HD 1kg,Electronics,195000
P00527,iPhone Gen 3,Electronics,1200000
P00528,Itel HD A5,Electronics,920000
P00529,Nokia,Electronics,165000
P00530,Realme Lite 250g,Electronics,125000
P00531,Samsung Plus,Electronics,480000
P00532,Phone Gen 3,Electronics,320000
P00533,Realme Standard 500ml,Electronics,285000
P00534,Xiaomi 4K 50-pack,Electronics,780000
P00535,iPhone Premium,Electronics,85000
P00536,Motorola V3,Electronics,480000
P00537,Phone,Electronics,195000
P00538,Nokia 360 250g,Electronics,780000
P00539,Itel,Electronics,195000
P00540,Nokia Max 2L,Electronics,320000
P00541,Motorola 360 50-pack,Electronics,85000
P00542,iPhone Plus 10kg,Electronics,1200000
P00543,Itel V3 Set of 4,Electronics,780000
P00544,Tecno Premium,Electronics,920000
P00545,Nokia Elite,Electronics,125000
P00546,iPhone 250g,Electronics,125000
P00547,Nokia Digital 10kg,Electronics,320000
P00548,Infinix Basic 50-pack,Electronics,680000
P00549,Xiaomi Basic,Electronics,225000
P00550,Samsung Elite,Electronics,125000
P00551,Nokia HD 250g,Electronics,380000
P00552,Samsung,Electronics,85000
P00553,Itel Smart,Electronics,680000
P00554,Nokia Gen 3 12-pack,Electronics,165000
P00555,Phone 360 5kg,Electronics,85000
P00556,Nokia 360 2kg,Electronics,920000
P00557,Realme Basic,Electronics,85000
P00558,Tecno 2024 24-pack,Electronics,380000
P00559,iPhone Gen 3 A5,Electronics,165000
P00560,Tecno Wireless,Electronics,920000
P00561,Nokia 360,Electronics,285000
P00562,Realme 2024,Electronics,165000
P00563,Itel 2024,Electronics,225000
P00564,Infinix Basic 10kg,Electronics,480000
P00565,Realme Gen 2 24-pack,Electronics,165000
P00566,Xiaomi Ultra Set of 6,Electronics,680000
P00567,Phone V2 250g,Electronics,165000
P00568,Realme V3,Electronics,225000
P00569,Phone Gen 3,Electronics,85000
P00570,Tecno 2024,Electronics,225000
P00571,Tecno Premium 100-pack,Electronics,165000
P00572,Nokia 1kg,Electronics,480000
P00573,Realme Digital Set of 4,Electronics,480000
P00574,Samsung Premium,Electronics,165000
P00575,Samsung Set of 4,Electronics,780000
P00576,Xiaomi 360 A5,Electronics,165000
P00577,Infinix 2025,Electronics,225000
P00578,Realme Smart 100-pack,Electronics,920000
P00579,Realme Ultra Set of 6,Electronics,320000
P00580,Realme Plus 500ml,Electronics,195000
P00581,Itel Gen 2 A4,Electronics,380000
P00582,iPhone Smart Set of 4,Electronics,85000
P00583,Motorola Standard 500g,Electronics,380000
P00584,Tecno 5kg,Electronics,1200000
P00585,Xiaomi Ultra 12-pack,Electronics,165000
P00586,Nokia Premium,Electronics,285000
P00587,Phone Smart A5,Electronics,85000
P00588,Phone 1L,Electronics,165000
P00589,Realme Gen 3,Electronics,225000
P00590,Realme Smart,Electronics,85000
P00591,Xiaomi 12-pack,Electronics,125000
P00592,iPhone Wireless,Electronics,85000
P00593,Xiaomi Plus 250ml,Electronics,85000
P00594,Xiaomi Max 12-pack,Electronics,320000
P00595,Itel,Electronics,680000
P00596,Itel Standard 10kg,Electronics,225000
P00597,Samsung Lite 500ml,Electronics,125000
P00598,Nokia 360,Electronics,225000
P00599,Realme Mini,Electronics,920000
P00600,Nokia 5kg,Electronics,1200000
P00601,Infinix,Electronics,85000
P00602,Itel Ultra,Electronics,920000
P00603,Infinix 2024,Electronics,780000
P00604,Motorola 4K 100-pack,Electronics,380000
P00605,Samsung Lite 50-pack,Electronics,1200000
P00606,Samsung Ultra 1.5L,Electronics,320000
P00607,Realme 2025,Electronics,1200000
P00608,Realme 4K,Electronics,125000
P00609,Phone 24-pack,Electronics,85000
P00610,Motorola Digital,Electronics,320000
P00611,Tecno Max,Electronics,380000
P00612,Tecno Elite,Electronics,225000
P00613,Phone Smart 2L,Electronics,285000
P00614,Phone Pro 12-pack,Electronics,225000
P00615,Infinix Mini 24-pack,Electronics,320000
P00616,iPhone Premium 5kg,Electronics,680000
P00617,iPhone,Electronics,320000
P00618,Itel Mini 12-pack,Electronics,780000
P00619,Itel Lite,Electronics,285000
P00620,Samsung Standard 50-pack,Electronics,380000
P00621,iPhone Plus 1L,Electronics,320000
P00622,Phone Ultra 100-pack,Electronics,285000
P00623,Xiaomi 2025 500g,Electronics,920000
P00624,Motorola HD,Electronics,380000
P00625,Itel 2025,Electronics,780000
P00626,Motorola V3 10kg,Electronics,680000
P00627,Infinix Lite 2kg,Electronics,920000
P00628,Tecno Digital A4,Electronics,285000
P00629,Infinix 100-pack,Electronics,920000
P00630,Infinix 1kg,Electronics,85000
P00631,Tecno Gen 2 2kg,Electronics,920000
P00632,Samsung Pro,Electronics,195000
P00633,Infinix Wireless 50-pack,Electronics,380000
P00634,iPhone Standard,Electronics,1200000
P00635,iPhone Premium 1kg,Electronics,1200000
P00636,Infinix 4K,Electronics,225000
P00637,Itel Digital 24-pack,Electronics,480000
P00638,Realme V3,Electronics,780000
P00639,iPhone 500ml,Electronics,225000
P00640,Nokia V2 2L,Electronics,225000
P00641,Realme 2kg,Electronics,680000
P00642,Nokia Mini,Electronics,1200000
P00643,Motorola Elite,Electronics,1200000
P00644,iPhone Max Set of 6,Electronics,1200000
P00645,Phone Gen 3 24-pack,Electronics,780000
P00646,Tecno Pro 500ml,Electronics,680000
P00647,Xiaomi V2 Set of 4,Electronics,225000
P00648,iPhone Ultra,Electronics,480000
P00649,Infinix 4K Set of 6,Electronics,195000
P00650,Tecno Gen 2,Electronics,225000
P00651,Infinix Max 2L,Electronics,480000
P00652,Infinix Gen 3 A4,Electronics,480000
P00653,Itel Wireless 50-pack,Electronics,1200000
P00654,Phone 250g,Electronics,225000
P00655,Motorola 4K 1L,Electronics,85000
P00656,Itel Smart A4,Electronics,380000
P00657,Xiaomi 4K Set of 6,Electronics,125000
P00658,Itel,Electronics,480000
P00659,iPhone Premium 2kg,Electronics,780000
P00660,Itel Gen 2 A4,Electronics,125000
P00661,Infinix 1kg,Electronics,225000
P00662,Samsung Basic 2kg,Electronics,85000
P00663,Nokia 250ml,Electronics,480000
P00664,Phone Gen 3,Electronics,780000
P00665,Samsung Plus,Electronics,195000
P00666,Xiaomi 2024,Electronics,780000
P00667,iPhone Premium 10kg,Electronics,380000
P00668,Motorola,Electronics,780000
P00669,iPhone 2024,Electronics,85000
P00670,Nokia Elite,Electronics,920000
P00671,Tecno Mini 100-pack,Electronics,165000
P00672,Tecno Smart 1.5L,Electronics,1200000
P00673,Tecno Ultra A5,Electronics,225000
P00674,Infinix Max,Electronics,480000
P00675,Tecno 2024 2kg,Electronics,225000
P00676,Nokia HD 100-pack,Electronics,680000
P00677,Samsung 24-pack,Electronics,780000
P00678,Nokia Lite 50-pack,Electronics,85000
P00679,Itel Pro 24-pack,Electronics,85000
P00680,Xiaomi 2025,Electronics,920000
P00681,Phone Smart A5,Electronics,165000
P00682,Realme Digital 500g,Electronics,165000
P00683,Nokia Gen 2 250g,Electronics,225000
P00684,Samsung Mini 12-pack,Electronics,285000
P00685,Nokia Mini 250ml,Electronics,1200000
P00686,Nokia Wireless 100-pack,Electronics,85000
P00687,iPhone 50-pack,Electronics,85000
P00688,Nokia 360,Electronics,1200000
P00689,Samsung V2,Electronics,480000
P00690,Nokia V3,Electronics,285000
P00691,Infinix,Electronics,195000
P00692,Xiaomi 4K,Electronics,320000
P00693,Samsung Gen 2 Set of 6,Electronics,1200000
P00694,Tecno 100-pack,Electronics,225000
P00695,Itel Basic 2kg,Electronics,125000
P00696,Xiaomi HD,Electronics,195000
P00697,Motorola 2025 24-pack,Electronics,920000
P00698,Xiaomi Mini 100-pack,Electronics,165000
P00699,Realme 2L,Electronics,920000
P00700,Xiaomi Pro 1.5L,Electronics,320000
P00701,Itel Max 10kg,Electronics,680000
P00702,Xiaomi 2024 250g,Electronics,380000
P00703,iPhone V2,Electronics,1200000
P00704,Motorola,Electronics,380000
P00705,Tecno 2025,Electronics,285000
P00706,Samsung Elite 500g,Electronics,125000
P00707,Nokia 4K,Electronics,195000
P00708,Tecno,Electronics,195000
P00709,iPhone 50-pack,Electronics,285000
P00710,Realme Plus,Electronics,320000
P00711,Tecno V2 A5,Electronics,285000
P00712,Phone Mini 1.5L,Electronics,1200000
P00713,Phone 250ml,Electronics,1200000
P00714,Phone Ultra 50-pack,Electronics,480000
P00715,Realme Standard,Electronics,680000
P00716,Xiaomi 2025,Electronics,480000
P00717,Nokia Lite,Electronics,85000
P00718,Itel Max,Electronics,165000
P00719,Itel Premium 100-pack,Electronics,780000
P00720,Phone Smart,Electronics,320000
P00721,Samsung Max,Electronics,920000
P00722,Phone 2024,Electronics,195000
P00723,Nokia,Electronics,320000
P00724,Xiaomi Elite 250g,Electronics,920000
P00725,Motorola V2,Electronics,680000
P00726,Infinix,Electronics,380000
P00727,iPhone Digital,Electronics,1200000
P00728,Realme 250g,Electronics,165000
P00729,Realme 360,Electronics,680000
P00730,Nokia 2024 500g,Electronics,125000
P00731,Tecno,Electronics,285000
P00732,Infinix Digital 2kg,Electronics,1200000
P00733,Samsung HD 50-pack,Electronics,165000
P00734,Phone V2 10kg,Electronics,380000
P00735,Xiaomi Elite,Electronics,125000
P00736,iPhone Smart 5kg,Electronics,225000
P00737,Xiaomi Basic,Electronics,1200000
P00738,Tecno 4K,Electronics,680000
P00739,Realme Digital 2kg,Electronics,285000
P00740,Xiaomi,Electronics,780000
P00741,Realme Ultra,Electronics,225000
P00742,Samsung HD 2kg,Electronics,85000
P00743,Xiaomi,Electronics,165000
P00744,Nokia V2,Electronics,125000
P00745,Itel V2,Electronics,195000
P00746,Realme 360 10kg,Electronics,85000
P00747,Nokia Lite 10kg,Electronics,780000
P00748,Tecno HD 2L,Electronics,285000
P00749,Tecno Smart 1.5L,Electronics,1200000
P00750,Phone Elite 1L,Electronics,780000
P00751,Motorola Gen 3 24-pack,Electronics,165000
P00752,Phone V3 A4,Electronics,680000
P00753,Tecno Basic 2kg,Electronics,920000
P00754,Itel Gen 3 12-pack,Electronics,125000
P00755,Xiaomi Gen 3,Electronics,320000
P00756,Nokia Digital A5,Electronics,1200000
P00757,Phone Plus,Electronics,285000
P00758,Phone 2kg,Electronics,195000
P00759,iPhone Pro,Electronics,125000
P00760,Phone Ultra A5,Electronics,780000
P00761,Itel 2024 24-pack,Electronics,320000
P00762,iPhone V2 A4,Electronics,320000
P00763,Realme 2025,Electronics,380000
P00764,Samsung 2L,Electronics,680000
P00765,Nokia V3 5kg,Electronics,125000
P00766,Phone 2024 250ml,Electronics,320000
P00767,Motorola 2024,Electronics,85000
P00768,Infinix Premium 1kg,Electronics,85000
P00769,Xiaomi 5kg,Electronics,320000
P00770,Infinix Max 5kg,Electronics,920000
P00771,Nokia Smart 250ml,Electronics,320000
P00772,Tecno A5,Electronics,285000
P00773,Samsung,Electronics,380000
P00774,Samsung,Electronics,1200000
P00775,Phone 2024 500g,Electronics,1200000
P00776,iPhone Ultra Set of 4,Electronics,680000
P00777,Phone V3,Electronics,480000
P00778,Tecno Smart,Electronics,320000
P00779,Infinix 4K 500g,Electronics,85000
P00780,Xiaomi,Electronics,320000
P00781,Tecno 2025,Electronics,85000
P00782,Nokia Max,Electronics,85000
P00783,Realme Gen 2 1.5L,Electronics,320000
P00784,Xiaomi Lite 1kg,Electronics,320000
P00785,Nokia Lite 10kg,Electronics,680000
P00786,Phone Basic 1.5L,Electronics,125000
P00787,Nokia Digital,Electronics,680000
P00788,Nokia V2,Electronics,320000
P00789,Samsung Max,Electronics,680000
P00790,iPhone Gen 3 24-pack,Electronics,85000
P00791,Xiaomi Wireless A5,Electronics,780000
P00792,Phone HD 24-pack,Electronics,225000
P00793,Xiaomi Gen 3,Electronics,125000
P00794,Infinix Mini,Electronics,480000
P00795,Samsung Pro 100-pack,Electronics,780000
P00796,Nokia HD 100-pack,Electronics,225000
P00797,Nokia V2,Electronics,680000
P00798,Motorola 360 100-pack,Electronics,165000
P00799,iPhone 500g,Electronics,380000
P00800,Itel Wireless A5,Electronics,480000
P00801,Realme HD,Electronics,320000
P00802,Infinix V2 2kg,Electronics,480000
P00803,Infinix 1kg,Electronics,85000
P00804,Phone 4K,Electronics,380000
P00805,Tecno 2024 2kg,Electronics,380000
P00806,Itel 4K A4,Electronics,85000
P00807,Tecno 500g,Electronics,1200000
P00808,Samsung Gen 2 24-pack,Electronics,165000
P00809,Tecno Plus,Electronics,285000
P00810,Realme V2,Electronics,920000
